case,mode,time,A_inj,A_ctrl,SNR
m2,2,28.4025,0.00231874655596872,0.0027941564800343954,0.8298556550205007
m2,2,28.605,0.00231967256959359,0.0027792677859787176,0.8346344246841685
m2,2,28.8,0.0023094451305558862,0.002293083056969594,1.0071354038121565
m2,2,29.0025,0.002298920080971216,0.0022764815072811163,1.009856690519265
m2,2,29.205,0.00228329811689871,0.00252647115135196,0.9037499263258464
m2,2,29.4,0.0022365232610341667,0.0025158369465489386,0.8889778266839128
m2,2,29.6025,0.002226464206523661,0.0024977056091785876,0.8914037740644187
m2,2,29.805,0.0022165090268250883,0.0025008597517257483,0.8862988119567919
m2,2,30.0,0.002211873344708066,0.0024929438647767884,0.8872535703510962
m2,2,30.2025,0.0022158589156616205,0.002480914303781986,0.8931622153508864
m2,2,30.405,0.0022015779868128837,0.00246896444537594,0.8917009683700236
m2,2,30.6,0.002200547516426972,0.0024656666164766523,0.8924756906395862
m2,2,30.8025,0.0021600931361565635,0.002454033984692434,0.880221361900695
m2,2,31.005,0.0021334786582201267,0.0024580317497532285,0.8679622053028058
m2,2,31.2,0.002124420587336011,0.0024471444910666596,0.8681222523194861
m2,2,31.4025,0.0018495103602775296,0.0024359641226902404,0.7592518884206552
m2,2,31.605,0.0018402436685819197,0.0024536711574144757,0.7499960469523768
m2,2,31.8,0.0018314131050367185,0.0024433957270450645,0.7495360185685309
m2,2,32.0025,0.0018223491255093644,0.0024396202322510153,0.746980657652564
m2,2,32.205,0.0018182792916859284,0.0024666105537964936,0.7371570225738783
m2,2,32.4,0.0018097583331213277,0.002456629991020248,0.7366833180969706
m2,2,32.6025,0.0018130636099295493,0.0024357990604733514,0.744340384784127
m2,2,32.805,0.0018068106185707242,0.0024279743453410126,0.7441638014165075
m2,2,33.0,0.001776185752131615,0.0023648618228761004,0.7510737984562038
m2,2,33.2025,0.001767893632276713,0.0023443715072399107,0.7541013132163937
m2,2,33.405,0.001765470917987226,0.0023329369707356263,0.7567589438263025
m2,2,33.6,0.0017575526121555141,0.0023241557809593506,0.7562111914159396
m2,2,33.8025,0.002226252791739432,0.002313480294781856,0.9622959818420891
m2,2,34.005,0.002225785072590813,0.002303920860665244,0.9660857326271746
m2,2,34.2,0.0022244805526219972,0.002294812100636025,0.9693519360497816
m2,2,34.4025,0.0021855210526537006,0.0022854547059743225,0.9562740608862695
m2,2,34.605,0.0021579848435445094,0.0022592737104672653,0.955167509605639
m2,2,34.8,0.0021409945045746223,0.0022504420430656453,0.9513662043293819
m2,2,35.0025,0.002131637189690508,0.001967684992354757,1.0833223803468397
m2,2,35.205,0.0021387388153265015,0.001962890651592187,1.0895863269773465
m2,2,35.4,0.0021293092887030092,0.001954190341699716,1.089612021544932
m2,2,35.6025,0.002120298433785992,0.0019542268561306094,1.0849807058655443
m2,2,35.805,0.0020846521056155187,0.0019502287580243757,1.0689269641000048
m2,2,36.0,0.0021026200400039823,0.0019536002576021603,1.0762795673382681
m2,2,36.2025,0.002059510509281685,0.0019450371773206275,1.0588540585731885
m2,2,36.405,0.0020419585499514884,0.0019224141856263148,1.0621844996874212
m2,2,36.6,0.0020338551694538114,0.0018752453579614678,1.0845808314197158
m2,2,36.8025,0.0020393144460764414,0.0018669814693848376,1.0923056706869119
m2,2,37.005,0.002031168372643384,0.0018556359828615168,1.0945941937982817
m2,2,37.2,0.00202664234602341,0.001838705542967414,1.1022114735960888
m2,2,37.4025,0.001992400734203516,0.001839723451539671,1.082989257182143
m2,2,37.605,0.0019772181737085096,0.0018317363734372423,1.0794228920607563
m2,2,37.8,0.0019698113314018085,0.0022947750485583333,0.8583897287184294
m2,2,38.0025,0.001970541922406952,0.002285321095892361,0.8622604175618063
m2,2,38.205,0.0019258600366471815,0.002290245362242163,0.8408968176063694
m2,2,38.4,0.0019186260262884904,0.0022469277210160803,0.8538886268316949
m2,2,38.6025,0.0019112016265826395,0.002237973420490906,0.8539876341173935
m2,2,38.805,0.0019137591176056998,0.002229123776463035,0.8585252814638556
m2,2,39.0,0.0019068453515211376,0.0022398414795082615,0.8513304932364096
m2,2,39.2025,0.0019041716560805027,0.00223119408684634,0.8534316522736648
m2,2,39.405,0.0017829177313318956,0.00221933910177642,0.8033552555825287
m2,2,39.6,0.0017764428115246797,0.0022358510253667465,0.7945264650328346
m2,2,39.8025,0.0017916543199505417,0.002227432473535418,0.8043585344281158
m2,2,40.005,0.0017464195303113573,0.002227328886398738,0.7840869576899618
m2,2,40.2,0.0017117362280407308,0.0021819025691766553,0.7845154280590344
m2,2,40.4025,0.0017053318693768672,0.002173670598643559,0.7845401554591802
m2,2,40.605,0.0016990055421509203,0.0021655350433626977,0.7845661733151459
m2,2,40.8,0.0017165117863338335,0.002157790097736761,0.7954952560650961
m2,2,41.0025,0.00171027055489629,0.002127053324813769,0.8040562664530426
m2,2,41.205,0.001713108045516047,0.002123974728123881,0.8065576406501056
m2,2,41.4,0.0017072122581905005,0.002116597638944352,0.8065832762820092
m2,2,41.6025,0.0017011627344007288,0.0021090242278712463,0.8066112811410449
m2,2,41.805,0.0016920157493469313,0.002123818612330776,0.7966856206660868
m2,2,42.0,0.001661603961153235,0.0021190132557369463,0.7841404279348718
m2,2,42.2025,0.0016588838635560826,0.002136422359973342,0.7764774862105365
m2,2,42.405,0.0016529448095792447,0.002132842246069437,0.7749962814293538
